,N5rep2r6CAGi10_S,N5rep1r6CAGi10_S10,N5rep2r6CAGi11_S,N5rep1r6CAGi11_S11,N5rep2r6CAGi12_S,N5rep1r6CAGi12_S12,N5rep2r6CAGi13_S,N5rep1r6CAGi13_S13,N5rep2r6CAGi14_S,N5rep1r6CAGi14_S14,N5rep2r6CAGi15_S,nnrep2r6CAGi15_S,N5rep1r6CAGi15_S15,nnrep1r6CAGi15_S92,N5rep2r6CAGi16_S,nnrep2r6CAGi16_S,N5rep1r6CAGi16_S16,nnrep1r6CAGi16_S93,nnrep2r6CAGi17_S,N5rep2r6CAGi17_S,N5rep1r6CAGi17_S17,nnrep1r6CAGi17_S94,N5rep2r6CAGi18_S,nnrep2r6CAGi18_S,N5rep1r6CAGi18_S18,nnrep1r6CAGi18_S95,N5rep2r6CAGi19_S,nnrep2r6CAGi19_S,N5rep1r6CAGi19_S19,nnrep1r6CAGi19_S96,N5rep2r6CAGi1_S1,N5rep1r6CAGi1_S1_L,nnrep2r6CAGi20_S,N5rep2r6CAGi20_S,N5rep1r6CAGi20_S20,nnrep1r6CAGi20_S97,nnrep2r6CAGi21_S,N5rep2r6CAGi21_S,N5rep1r6CAGi21_S21,nnrep1r6CAGi21_S98,nnrep2r6CAGi22_S,N5rep2r6CAGi22_S,N5rep1r6CAGi22_S22,nnrep1r6CAGi22_S99,nnrep2r6CAGi23_S,N5rep2r6CAGi23_S,nnrep1r6CAGi23_S10,N5rep1r6CAGi23_S23,N5rep2r6CAGi24_S,nnrep2r6CAGi24_S,nnrep1r6CAGi24_S10,N5rep1r6CAGi24_S24,nnrep2r6CAGi25_S,N5rep2r6CAGi25_S,nnrep1r6CAGi25_S10,N5rep1r6CAGi25_S25,nnrep2r6CAGi26_S,N5rep2r6CAGi26_S,nnrep1r6CAGi26_S10,N5rep1r6CAGi26_S26,nnrep2r6CAGi27_S,N5rep2r6CAGi27_S,nnrep1r6CAGi27_S10,N5rep1r6CAGi27_S27,N5rep2r6CAGi28_S,nnrep2r6CAGi28_S,nnrep1r6CAGi28_S10,N5rep1r6CAGi28_S28,N5rep2r6CAGi29_S,N5rep1r6CAGi29_S29,N5rep2r6CAGi2_S2,N5rep1r6CAGi2_S2_L,N5rep2r6CAGi30_S,N5rep1r6CAGi30_S30,N5rep2r6CAGi31_S,N5rep1r6CAGi31_S31,N5rep2r6CAGi32_S,N5rep1r6CAGi32_S32,N5rep2r6CAGi33_S,N5rep1r6CAGi33_S33,N5rep2r6CAGi34_S,N5rep1r6CAGi34_S34,N5rep2r6CAGi35_S,N5rep1r6CAGi35_S35,N5rep2r6CAGi3_S3,N5rep1r6CAGi3_S3_L,N5rep2r6CAGi4_S4,N5rep1r6CAGi4_S4_L,N5rep2r6CAGi5_S5,N5rep1r6CAGi5_S5_L,N5rep2r6CAGi6_S6,N5rep1r6CAGi6_S6_L,N5rep2r6CAGi7_S7,N5rep1r6CAGi7_S7_L,N5rep2r6CAGi8_S8,N5rep1r6CAGi8_S8_L,N5rep2r6CAGi9_S9,N5rep1r6CAGi9_S9_L,nnrep2F42_S132_L,nnrep1F42_S132_L00,nnrep2A032_S128_,nnrep1A032_S128_L0,nnrep2A042_S129_,nnrep1A042_S129_L0,nnrep2B032_S130_,nnrep1B032_S130_L0,nnrep2F012_S131_,nnrep1F012_S131_L0,nnrep2H032_S133_,nnrep1H032_S133_L0,nnrep2PE2nogd1_S1,nnrep1PE2nogd1_S110,nnrep2PE2nogd2_S1,nnrep1PE2nogd2_S111,N55rep2r6CAGi10_,N55rep1r6CAGi10_S6,N55rep2r6CAGi11_,N55rep1r6CAGi11_S6,N55rep2r6CAGi12_,N55rep1r6CAGi12_S6,N55rep2r6CAGi13_,N55rep1r6CAGi13_S6,N55rep2r6CAGi14_,N55rep1r6CAGi14_S7,N55rep2r6CAGi15_,N55rep1r6CAGi15_S7,N55rep2r6CAGi16_,N55rep1r6CAGi16_S7,N55rep2r6CAGi17_,N55rep1r6CAGi17_S7,N55rep2r6CAGi18_,N55rep1r6CAGi18_S7,N55rep2r6CAGi19_,N55rep1r6CAGi19_S7,N55rep2r6CAGi1_S,N55rep1r6CAGi1_S57,N55rep2r6CAGi20_,N55rep1r6CAGi20_S7,N55rep2r6CAGi21_,N55rep1r6CAGi21_S7,N55rep2r6CAGi22_,N55rep1r6CAGi22_S7,N55rep2r6CAGi23_,N55rep1r6CAGi23_S7,N55rep2r6CAGi24_,N55rep1r6CAGi24_S8,N55rep2r6CAGi25_,N55rep1r6CAGi25_S8,N55rep2r6CAGi26_,N55rep1r6CAGi26_S8,N55rep2r6CAGi27_,N55rep1r6CAGi27_S8,N55rep2r6CAGi28_,N55rep1r6CAGi28_S8,N55rep2r6CAGi29_,N55rep1r6CAGi29_S8,N55rep2r6CAGi2_S,N55rep1r6CAGi2_S58,N55rep2r6CAGi30_,N55rep1r6CAGi30_S8,N55rep2r6CAGi31_,N55rep1r6CAGi31_S8,N55rep2r6CAGi32_,N55rep1r6CAGi32_S8,N55rep2r6CAGi33_,N55rep1r6CAGi33_S8,N55rep2r6CAGi34_,N55rep1r6CAGi34_S9,N55rep2r6CAGi35_,N55rep1r6CAGi35_S9,N55rep2r6CAGi3_S,N55rep1r6CAGi3_S59,N55rep2r6CAGi4_S,N55rep1r6CAGi4_S60,N55rep2r6CAGi5_S,N55rep1r6CAGi5_S61,N55rep2r6CAGi6_S,N55rep1r6CAGi6_S62,N55rep2r6CAGi7_S,N55rep1r6CAGi7_S63,N55rep2r6CAGi8_S,N55rep1r6CAGi8_S64,N55rep2r6CAGi9_S,N55rep1r6CAGi9_S65
filtered,Pass,Pass,Pass,Pass,Warning,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warning,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Pass,Fail,Fail,Pass,Pass,Fail,Pass,Pass,Pass,Warning,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warning,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warning,Pass,Pass,Pass,Pass,Pass,Pass,Warning,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Warning,Fail,Pass,Fail,Pass,Pass,Pass,Fail,Pass,Pass,Pass,Pass,Pass,Pass
reads,75709.0,152848.0,86612.0,219473.0,2732.0,20600.0,280495.0,162112.0,183150.0,93579.0,114392.0,190339.0,117571.0,2608.0,136851.0,36508.0,97855.0,19892.0,36110.0,215995.0,231381.0,130675.0,183549.0,10373.0,245108.0,63932.0,139730.0,25695.0,180963.0,42449.0,39474.0,455410.0,38834.0,207793.0,62013.0,60252.0,38647.0,130071.0,154195.0,169953.0,59012.0,228950.0,322407.0,112232.0,30425.0,332491.0,54479.0,152678.0,90590.0,31903.0,223498.0,342859.0,74391.0,250780.0,107203.0,505040.0,149497.0,31848.0,1597.0,88.0,169527.0,20585.0,220732.0,85.0,1148.0,80249.0,117390.0,107.0,145450.0,12982.0,36149.0,2652.0,122175.0,70108.0,133835.0,14905.0,110073.0,33725.0,170966.0,147011.0,132076.0,26638.0,302408.0,127362.0,52036.0,7180.0,145010.0,29.0,157814.0,136475.0,124540.0,66215.0,236308.0,120748.0,169817.0,238123.0,135527.0,77232.0,40380.0,76742.0,6684.0,287404.0,244291.0,84917.0,99915.0,80936.0,90392.0,8591.0,33256.0,26841.0,59840.0,237776.0,139124.0,352342.0,41276.0,9.0,124703.0,96692.0,36301.0,71793.0,92891.0,138745.0,152661.0,73173.0,120478.0,80022.0,161483.0,94041.0,160570.0,134171.0,163970.0,107004.0,161099.0,209290.0,83693.0,158477.0,71798.0,116872.0,208978.0,178255.0,135573.0,165476.0,177866.0,296245.0,45040.0,55708.0,1755.0,40214.0,117.0,109033.0,1966.0,131689.0,37014.0,130937.0,21110.0,129808.0,52494.0,48.0,98791.0,148321.0,73749.0,178586.0,769.0,89611.0,51945.0,117692.0,1055.0,20120.0,1556.0,51631.0,2074.0,41.0,28433.0,9.0,136211.0,90518.0,19302.0,10.0,53841.0,81264.0,53315.0,75625.0,78283.0,15255.0
edits_unmodified,3.2149298981900527,2.712388309683347,2.5468040512010783,2.0785169441185976,3.2105051576789405,4.15932461495623,2.6903611130195526,2.5759051212057744,2.635886348799517,2.2837398720096904,6.341264488543696,-0.010052919261334378,5.956029114026529,-0.010578297665129712,6.03760549346537,-0.010578297665129712,6.408102403372119,0.00953028870124873,-0.005039665707223315,6.084007225147898,5.0658972988618105,-0.001395209851852498,5.022410168629974,-0.010578297665129712,5.498421816570228,-0.0027574880549188635,6.045386777837626,-0.0066864899204323,5.19103750224977,0.0035563109240007735,2.358069419819797,2.202811834303865,-0.008003234576084031,5.662856322365381,5.051263574200447,-0.003939513890317258,-0.0028157287723307887,4.964396908183984,4.326138197681671,0.008838835306927268,-0.0004108740902635834,3.943560160513512,4.59912310459971,0.0027868744782874946,-0.007291526917389367,3.858398606972891,0.015119677701525329,4.503497076652061,4.1278475771554906,-0.004309294750043356,-0.005209122102037425,3.2700705988200145,-0.009234049032902696,3.096128776264211,0.016473184103104384,3.766152258330435,0.014171362863175205,3.84837673875788,-0.010578297665129712,1.1257853386985068,0.002988862728199964,4.36153732050344,0.003012844534460742,-0.010578297665129712,7.742034942752989,0.034282074426734366,0.01497754184419817,7.466057216353562,4.032735555892794,3.917938109668101,2.279941495413517,2.74206121968027,3.9403118189708435,5.023084051852757,3.1104289127058498,3.5654029166924683,3.0701045219182377,4.007212658598769,3.858027156050814,3.348354027126893,2.9407527541535203,2.7711620732335867,2.1219711057898056,2.491737934806094,2.1321690311072587,3.345967663337656,1.8168818774952042,-0.010578297665129712,1.3986756341786866,1.3171374011808128,2.1590057717101714,2.5069781472491646,1.8103503209173983,2.1120241470958603,3.4166404142423943,2.8698658425481214,3.2839681764691755,3.7352783420696953,,,,,,,,,,,,,,,,,1.2443882688626346,-0.010578297665129712,1.039917680779655,1.3742312005353419,0.08308303397862665,1.9840451335886138,1.56007978546456,1.3141541251248807,0.8324660948123203,1.144219236944631,3.41577340140026,4.173271143738484,3.6170481397926832,3.7409768750786734,0.4789278367310838,2.8834897200138023,2.8301852566435852,3.3229419445688055,2.836739190339141,2.7884087537945677,0.8592674480961645,0.9226801562430084,2.7527298724788856,2.9755946094469246,2.388717321969473,2.398330288349288,2.1130008810799006,2.0664600643934166,2.1269859360838725,2.351993222529304,1.7234359119263447,2.8148686758395733,1.8697635826767507,2.85906908881719,2.5535242664374347,2.7271249664842565,2.5326566972484006,2.165761411801872,1.5807114845794266,1.7650848074923124,2.1637466668066847,2.67338571071648,0.9666762457112561,-0.010578297665129712,2.387413422228383,1.7862003108933349,1.8172430965232662,1.262757798109455,1.2898118193699808,1.878698688419168,1.5314372957509836,1.8816488715562278,1.0320757307708894,1.719043968736461,0.63209522418577,1.5272574986587844,1.2912539106280236,-0.010578297665129712,1.1887323624832895,-0.010578297665129712,0.6002387435429959,0.7207679539091427,1.0670302403102097,-0.010578297665129712,0.6729156939026346,0.8631173117067938,1.6512429533899204,1.8895869915910688,1.7190437147769075,2.1395364188212684
edits_modified,0.12282259961690636,0.0856775388772564,0.09449266565523276,0.06791979910698512,0.10847265172460777,0.10060473604705703,0.0817304228313607,0.08255560592390612,0.13516312497437813,0.16429844087275017,0.2032227478979778,-0.001337011525758238,0.18748506194474082,-0.001337011525758238,0.17915125673680457,-0.001337011525758238,0.22552927021763772,-0.001337011525758238,-0.001337011525758238,0.22366819692814158,0.17715646892423578,-0.0005717542079851368,0.2470980112746928,-0.001337011525758238,0.1838874609516801,0.0017913123183261014,0.23197008072357964,-0.001337011525758238,0.14786475900191867,-0.001337011525758238,0.07719569354593439,0.08034762429690703,-0.001337011525758238,0.21041218118044494,0.16314462942049548,-0.001337011525758238,-0.001337011525758238,0.16933900388121195,0.22240565198473153,-0.0007486135569080253,-0.001337011525758238,0.16813230491888012,0.13110428162234314,-0.001337011525758238,-0.001337011525758238,0.2203231236357948,-0.001337011525758238,0.1106634076570974,0.14768605945337868,-0.001337011525758238,-0.001337011525758238,0.12028732967572678,-0.001337011525758238,0.13264496470839118,0.008923895351847799,0.1293457066747801,-0.001337011525758238,0.10228017008690163,-0.001337011525758238,-0.001337011525758238,-0.0007471349869178166,0.10067901956484107,-0.001337011525758238,-0.001337011525758238,0.3470950442233714,-0.001337011525758238,-0.00048515020878064224,-0.001337011525758238,0.15816797300500898,0.1065046153422127,0.15357737061482693,0.14949255106851014,0.1738215724726049,0.11705176008375887,0.10775253904023721,0.1731010964916855,0.11494945291147898,0.12319968232153602,0.1279284564620287,0.12110280590286962,0.12056250087619194,0.24267530171097088,0.09191448975727637,0.11486719381021329,0.07553284780239913,0.05437329488092704,0.07314061070719105,-0.001337011525758238,0.043019002516088395,0.02797238579975939,0.0821702953635948,0.08927689770930927,0.07737382348617519,0.059119476366380735,0.11054813542654943,0.08181329314871702,0.12483710876023649,0.11648979601515722,,,,,,,,,,,,,,,,,0.061653588338569626,-0.001337011525758238,0.03073920155652535,0.06692096224663249,0.006927223619279086,0.09755842396238104,0.03634155798043717,0.08154885823531435,0.08840431075039615,0.08886019236092116,0.1356174531897916,0.16986590767146328,0.2240737128229349,0.19963915844266003,0.013609740669546042,0.15219840223727557,0.13283387339221456,0.12295740737446995,0.15074338624207398,0.1477384340282575,0.034508280195174185,0.03210632725526355,0.08919475816141967,0.10732887936341953,0.16279509807429518,0.20623079863384433,0.09160184798166585,0.10079260243638746,0.1178538400141649,0.1198464683641978,0.07637169184901962,0.1907359402944471,0.11262310243435583,0.14289136665099614,-0.001337011525758238,0.1710878506719247,0.35471588776213575,0.10649279962019945,0.1526587738527472,0.14682584542071234,0.24025465119333214,0.10497384758924236,0.03485760119188566,-0.001337011525758238,0.13430287469869542,0.08631072547709365,0.1749365650651107,0.05465841924709072,0.12870200017775282,0.06450311970813052,0.09106841729318485,0.07343442578518891,-0.001337011525758238,0.12291746163527553,0.1914650450295117,0.1284299889197105,-0.001337011525758238,2.4376873787181443,0.00921410865150055,-0.001337011525758238,0.010409470035936428,0.008605762287185046,0.05047109126151764,-0.001337011525758238,0.05066796609352811,0.05157694791507664,0.09619651562419976,0.06742331905275403,0.058701566454135296,0.06421526641590017
extensions,2.4138204991815613,2.9222875528036063,2.0595480702224425,3.3099809102959954,2.8569617423715847,2.683640159975247,2.8296318940750016,4.14550567115007,4.21564612887442,4.14115007553696,6.274030756914269,0.08576989100139698,6.038699482526305,-0.050411897919803605,7.417796215037044,0.5221157806930359,7.141603770687153,0.10277728686823584,0.4088783077061553,6.8780623609566165,5.78514223009093,0.11391537399654394,5.952044877384376,1.003010182410265,6.584297068734785,0.08697525691380215,7.1385028320216835,1.0150540386150788,6.3273272860621175,0.04542667386615906,2.7878390157047894,4.389226057927439,0.47828962888723503,6.754868953342657,6.625066002567913,0.022227800622392824,0.8298022981836408,6.051266265299501,5.6725452690966245,0.13199598467812435,0.484178342434763,5.2064341731675965,6.329577435000684,0.2165307672955894,0.5642394372047861,4.839986168669314,0.22369327031240882,5.7280852431422185,2.6045995234575745,0.7620729944562237,0.010275432313645139,4.16514840941074,0.5379793358307663,3.093819816921303,0.28235366141779616,4.6894495623642145,0.12827420822156343,5.3799451816437065,0.30349170200490183,0.6258290390573298,0.42736909944996215,6.139939048552328,0.1327794668076414,4.19534775563487,2.8866779462477004,0.5785755473683933,0.32854879991662544,3.227783159703039,5.84628905343278,6.006180854858229,2.5213611674451393,3.0716675143075696,6.093926217099259,7.059214931991349,5.647794688754888,5.520998445296847,5.62175942575112,6.306366811144398,5.181240375495303,5.8665392271013905,4.9825148590672965,5.83378554684866,3.768783410153814,4.679396465334041,2.4470332403445507,2.5535322550613815,2.457536570199383,-0.5105345973063067,2.1058365738191958,1.8378808634007824,2.4066004597034896,2.6277271258682005,2.2883549874728795,2.3110442280158523,3.3041600445728925,1.6954681827695361,2.30145120626051,2.2564531797809115,0.07886609610627371,0.6752567555382896,0.02806504362726603,-0.008453902535183078,0.08956937705214285,0.44333800770800147,0.06895797137707416,0.4568964593310364,0.09128857288574577,0.8280755761310115,0.12694435386040004,0.87913046733361,0.43364989467230297,0.2460598445212957,0.3347544973143195,0.22028943162013415,2.5227050576990235,-0.5105345973063067,1.8326327683545036,2.4338661804209094,0.2525297810854731,1.034184247149281,1.1613173582114509,1.5724233471241236,1.8895544889698213,2.125683679927099,3.168975354718129,4.49808803147078,3.7753654664774974,4.2437746933222495,0.8739083247837474,3.4307045676399186,3.291380387142068,3.814537362620425,3.7948925003168936,3.4409203217055913,1.1789734858069765,2.3024918986520975,3.3335836232569402,4.056855367783707,3.0046679599006723,2.4711489459323124,2.382371807361289,3.098447974184423,2.331492546723469,3.2755208635453537,1.0924849408819706,1.5412353459693449,1.1988671120954026,1.5335296589228673,2.0535679667962574,1.5246290687397528,1.2697298991331645,1.4805200845577822,0.9024442755526116,1.2101402310462597,1.1806070417273267,1.5294013080308069,2.798414996933035,-0.5105345973063067,1.3540077193014814,1.7103242156736493,1.276608279207273,1.4750633778989166,1.049933543135826,0.9647307161038772,1.0661330319169102,1.2321496972931565,1.1008398102766317,1.2986105319183454,0.9033471507656727,0.9575756465394449,2.0931298192799996,11.684587353913205,3.425033228811233,-0.5105345973063067,2.0707547258761085,1.7387417897106399,2.8414496530304456,-0.5105345973063067,2.455606447622279,2.5166361055879642,3.450827120784287,3.5331017663300575,2.9372126786028945,3.160392967426568
truncation,1.542030230142787,0.9400170066081461,1.0008046006935132,0.7224236148765009,-1.5756747134236893,2.3544664399686805,0.9276780317506859,1.9733014585007584,3.928892145462351,3.8504783242216103,3.8778980466327386,-0.5055948650600506,4.490449836244084,-3.544276784761795,4.633489589871706,4.173008140098778,4.8090391111440365,-1.9124125707669588,4.037698366148936,4.100341423140938,4.051818405539025,-1.4545990731159169,4.064360393314756,5.800070177828081,3.791138699044966,-1.158675557384088,3.909718628829447,5.344764314399319,4.406095590786348,-0.5261964091338491,2.0879503455602215,1.8856718639512966,4.648250887687654,3.9012512373298005,4.81158175825694,-1.1386595183848716,6.240232953452319,3.8855652132824066,4.293571255236953,4.777932487892043,5.0278957046435,3.420586146437854,3.7759725167869203,4.847821397487332,4.20541697087789,3.0580346334927473,6.613409629443849,3.923252616905307,1.38733886100146,4.963690425660749,2.194123613764985,1.0068399552270275,3.993307747241344,1.3815876470453237,7.953243200400236,1.7393076291314369,1.6466993068034945,5.4112604835202145,4.017879635827425,3.9780321946024007,9.311642233657588,4.785769514363038,5.389204607713813,3.4432728363136302,4.959977078986308,4.3048558650191335,4.298641817537602,19.44107382586833,3.96053164771031,6.563430158216354,2.9197858958238587,3.518687617610764,4.927787575297005,5.428780909572032,4.056011524645838,5.501011060754697,4.683679603801087,5.360335584318689,3.613206865164221,3.6506602787098945,4.49908205845489,5.152021505839249,3.122805901887679,3.986883129161159,1.2797254279583274,2.0079131771296215,1.0448175573673488,-7.307234263077852,0.02625697475210309,0.05157213698278795,0.7865785542969839,1.8424271064941014,0.6073926440620419,0.7761722729624392,1.6680054117607632,0.4886208781437169,1.1068163281900034,1.9838046487900183,,,,,,,,,,,,,2.8082460983457143,2.1742336615292555,2.031371138801296,2.3971301681105768,4.0416835350247435,41.35176956833977,2.402871430809446,3.3674712005556966,-0.4796461563571288,-0.15645546752723405,0.241101030902227,0.47205818734906657,1.7891657162317252,3.478965847477342,3.4492295010891336,4.302374818562628,3.5250151869016175,3.4246952071568852,2.024027427494312,3.362603172885878,3.492133998147393,3.2282726274154445,3.484095377659232,3.1099891573205074,0.18092958039441065,3.0933612328855578,3.4164819868224914,4.000745465997989,2.5893692731465503,2.658013120803629,2.896964162150242,3.0881475862329335,3.1339851438604196,1.997668889659776,0.5075816859636131,1.0740915169128886,-2.8647546481844444,1.6812291816308882,-0.5285723120021064,1.5134739249209108,1.2082180819602097,1.0738757764850586,0.5068640370993425,0.31388281533811657,1.0970193183266144,0.8245635752148832,3.5258593055795853,2.462880679450885,0.5121294301805381,0.6107042063508725,0.5516683240291158,0.23519579187104256,-2.6303139456033,0.9829656392586461,-0.656765099738644,0.4029842265625536,-2.260658025130475,1.4572478100009167,-1.478850254567968,0.47344280943739037,5.612993183468886,-6.886712816484075,3.655743432824311,30.240658457228662,2.863851721926652,3.9450904793433548,4.447131016203555,-4.203785987215783,3.4964796096342017,4.34809430418016,3.160933134982473,3.6064619466685155,3.2763821208025607,4.2622907089494095
indels,3.9558507293243483,3.8623045594117524,3.0603526709159556,4.032404525172496,1.2812870289478955,5.038106599943927,3.7573099258256875,6.118807129650828,8.144538274336771,7.991628399758571,10.151928803547008,-0.4198249740586536,10.52914931877039,-3.594688682681599,12.051285804908751,4.695123920791814,11.95064288183119,-1.8096352838987229,4.446576673855091,10.978403784097555,9.836960635629955,-1.340683699119373,10.016405270699131,6.803080360238346,10.375435767779752,-1.0717003004702859,11.048221460851131,6.359818353014397,10.733422876848465,-0.48076973526769007,4.875789361265011,6.274897921878735,5.126540516574889,10.656120190672457,11.436647760824854,-1.1164317177624787,7.070035251635959,9.936831478581908,9.966116524333579,4.909928472570168,5.512074047078263,8.62702031960545,10.105549951787605,5.064352164782921,4.7696564080826755,7.898020802162061,6.837102899756258,9.651337860047526,3.9919383844590346,5.725763420116973,2.2043990460786302,5.171988364637768,4.53128708307211,4.475407463966627,8.235596861818031,6.428757191495651,1.7749735150250578,10.791205665163922,4.321371337832327,4.60386123365973,9.73901133310755,10.925708562915366,5.521984074521455,7.6386205919485,7.846655025234008,4.883431412387527,4.627190617454227,22.668856985571367,9.806820701143089,12.569611013074583,5.441147063268998,6.590355131918334,11.021713792396264,12.48799584156338,9.703806213400725,11.022009506051544,10.305439029552208,11.666702395463087,8.794447240659524,9.517199505811284,9.481596917522186,10.98580705268791,6.891589312041493,8.666279594495201,3.726758668302878,4.561445432191003,3.502354127566732,-7.817768860384159,2.132093548571299,1.8894530003835703,3.1931790140004734,4.470154232362302,2.8957476315349213,3.0872165009782915,4.972165456333656,2.1840890609132533,3.4082675344505136,4.24025782857093,,,,,,,,,,,,,3.241895993018017,2.4202935060505513,2.3661256361156155,2.617419599730711,6.564388592723767,40.841234971033465,4.23550419916395,5.801337380976606,-0.22711637527165573,0.877728779622047,1.4024183891136779,2.0444815344731904,3.6787202052015466,5.604649527404441,6.618204855807263,8.800462850033409,7.300380653379115,7.668469900479135,2.8979357522780598,6.793307740525797,6.783514385289461,7.042809990035869,7.2789878779761255,6.550909479026099,1.3599030662013871,5.395853131537655,6.750065610079432,8.057600833781695,5.594037233047223,5.129162066735941,5.279335969511531,6.186595560417357,5.465477690583889,5.27318975320513,1.6000666268455837,2.6153268628822337,-1.6658875360890417,3.2147588405537553,1.524995654794151,3.0381029936606634,2.477947981093374,2.554395861042841,1.409308312651954,1.5240230463843762,2.277626360053941,2.3539648832456903,6.32427430251262,1.9523460821445784,1.8661371494820196,2.321028422024522,1.8282766032363889,1.7102591697699592,-1.5803804024674737,1.9476963553625233,0.40936793217826617,1.63513392385571,-1.1598182148538432,2.755858341919262,-0.5755031038022953,1.4310184559768353,7.706123002748885,4.79787453742913,7.080776661635544,29.730123859922355,4.934606447802761,5.683832269053995,7.288580669234,-4.714320584522089,5.952086057256481,6.864730409768124,6.61176025576676,7.139563712998573,6.213594799405455,7.422683676375978
